private_entity,label,wikidata_uri,wikidata_id,wikidata_label,wikidata_description,confidence
http://cinema-kb.org/Gb,GB,,,,,0.333
http://cinema-kb.org/Germany,Germany,http://www.wikidata.org/entity/Q183,Q183,Germany,country in Central Europe,1.0
http://cinema-kb.org/2022,2022,http://www.wikidata.org/entity/Q49625,Q49625,2022,year,1.0
http://cinema-kb.org/2018,2018,http://www.wikidata.org/entity/Q25291,Q25291,2018,year,1.0
http://cinema-kb.org/France,France,http://www.wikidata.org/entity/Q142,Q142,France,"country in Western Europe and other continents (through its overseas territories in America, Africa and Oceania)",1.0
http://cinema-kb.org/Hollywood,Hollywood,http://www.wikidata.org/entity/Q34006,Q34006,Hollywood,"neighborhood in Los Angeles, California, United States",1.0
http://cinema-kb.org/AlfredHitchcock,Alfred Hitchcock,http://www.wikidata.org/entity/Q7374,Q7374,Alfred Hitchcock,British filmmaker (1899–1980),1.0
http://cinema-kb.org/Michael,Michael,http://www.wikidata.org/entity/Q4927524,Q4927524,Michael,male given name,1.0
http://cinema-kb.org/Corleone,Corleone,http://www.wikidata.org/entity/Q485724,Q485724,Corleone,Italian comune,1.0
http://cinema-kb.org/Vito,Vito,http://www.wikidata.org/entity/Q12805843,Q12805843,Vito,male given name,1.0
http://cinema-kb.org/ClaraBow,Clara Bow,http://www.wikidata.org/entity/Q234640,Q234640,Clara Bow,American actress (1905–1965),1.0
http://cinema-kb.org/2021,2021,http://www.wikidata.org/entity/Q49628,Q49628,2021,year,1.0
http://cinema-kb.org/BusterKeaton,Buster Keaton,http://www.wikidata.org/entity/Q103949,Q103949,Buster Keaton,"American actor, comedian, and director (1895–1966)",1.0
http://cinema-kb.org/2017,2017,http://www.wikidata.org/entity/Q25290,Q25290,2017,year,1.0
http://cinema-kb.org/DavidBrown,"David Brown
-",,,,,0.0
http://cinema-kb.org/PeterJacksonNormanJewisonGrahamKing,"Peter Jackson
- Norman Jewison
- Graham King",,,,,0.0
http://cinema-kb.org/WarrenBeattyJamesLBrooks,"Warren Beatty
- James L. Brooks
-",,,,,0.0
http://cinema-kb.org/DonnaGigliottiEdGuiney,"Donna Gigliotti
- Ed Guiney
-",,,,,0.0
http://cinema-kb.org/ThomasAnderson,"Thomas Anderson
-",,,,,0.0
http://cinema-kb.org/EthanCoenMeganEllison,"Ethan Coen
- Megan Ellison
-",,,,,0.0
http://cinema-kb.org/DoloresDelRO,Dolores del Río,http://www.wikidata.org/entity/Q137395783,Q137395783,Dolores del Río,painting by José Clemente Orozco,1.0
http://cinema-kb.org/Sonny,Sonny,http://www.wikidata.org/entity/Q37263542,Q37263542,Sonny,family name,1.0
http://cinema-kb.org/China,China,http://www.wikidata.org/entity/Q29520,Q29520,China,"cultural region, ancient civilization, and nation in East Asia; mostly refers to the People's Republic of China in political situation and rarely refers to the Republic of China",1.0
http://cinema-kb.org/IvorNovello,Ivor Novello,http://www.wikidata.org/entity/Q436693,Q436693,Ivor Novello,Welsh composer and actor (1893–1951),1.0
http://cinema-kb.org/Egypt,Egypt,http://www.wikidata.org/entity/Q79,Q79,Egypt,country in Northeast Africa and Southwest Asia,1.0
http://cinema-kb.org/Connie,Connie,http://www.wikidata.org/entity/Q19819774,Q19819774,Connie,female given name,1.0
http://cinema-kb.org/2010,2010,http://www.wikidata.org/entity/Q1995,Q1995,2010,calendar year,1.0
http://cinema-kb.org/TheFiendOfFleetStreet,The Fiend of Fleet Street,,,,,0.0
http://cinema-kb.org/RaoulWalsh,Raoul Walsh,http://www.wikidata.org/entity/Q72756,Q72756,Raoul Walsh,American film director and actor (1887–1980),1.0
http://cinema-kb.org/GeorgeDibdin,George Dibdin,http://www.wikidata.org/entity/Q55000621,Q55000621,George Dibdin,operatic character in the opera Der Vampyr,1.0
http://cinema-kb.org/AmericanStage,American stage &,,,,,0.0
http://cinema-kb.org/USSR,U.S.S.R.,http://www.wikidata.org/entity/Q72607535,Q72607535,U.S.S.R.,song by Eddy Huntington,1.0
http://cinema-kb.org/1887,1887,http://www.wikidata.org/entity/Q7826,Q7826,1887,year,1.0
http://cinema-kb.org/PaulLeni,Paul Leni,http://www.wikidata.org/entity/Q77465,Q77465,Paul Leni,German film director (1885–1929),1.0
http://cinema-kb.org/TheCzechRepublic,the Czech Republic,http://www.wikidata.org/entity/Q2981079,Q2981079,music of the Czech Republic,overview of musical traditions in the Czech Republic,0.8
http://cinema-kb.org/2023,2023,http://www.wikidata.org/entity/Q49622,Q49622,2023,calendar year,1.0
http://cinema-kb.org/BradPitt,Brad Pitt,http://www.wikidata.org/entity/Q35332,Q35332,Brad Pitt,American actor and filmmaker (born 1963),1.0
http://cinema-kb.org/1893,1893,http://www.wikidata.org/entity/Q7840,Q7840,1893,year,1.0
http://cinema-kb.org/2004,2004,http://www.wikidata.org/entity/Q2014,Q2014,2004,year,1.0
http://cinema-kb.org/2024,2024,http://www.wikidata.org/entity/Q49619,Q49619,2024,calendar year,1.0
http://cinema-kb.org/1882,1882,http://www.wikidata.org/entity/Q19241521,Q19241521,1882,natural number,1.0
http://cinema-kb.org/2016,2016,http://www.wikidata.org/entity/Q25245,Q25245,2016,year,1.0
